question_id,point_text,source,hit_status,conf,weight,span,point_id,_matched_point_id,point_id
SAS-CHN-075,不是有了兴趣和好成绩毕业后也就一定能很好地适应社会需要,mrc,hit_exact,1.0,2.5,毕业后也就一定能很好地适应社会需要,,,
SAS-CHN-075,不是有了浓厚的兴趣就一定会取得好成绩,mrc,hit_exact,1.0,2.5,有了浓厚的兴趣，必将取得好成绩,,,
SAS-CHN-061,祖先就开始采掘铜矿、铸造铜器,mrc,hit_exact,1.0,2.0,黄帝就已铸造铜器,,,
SAS-HIST-016,自上而下的改革,mrc,hit_exact,1.0,2.0,学习西方的制度和文化,,,
SAS-POL-049,只有秉持人类命运共同体理念，加强团结合作，才能打赢全球疫情防控阻击战,mrc,hit_exact,1.0,1.0,加强国际联防联控,5,需要开展国际联防联控,5
SAS-CHN-051,他的文章博大深沉光辉灿烂,mrc,hit_exact,1.0,2.0,派遣人带着医师分开治疗，活着的人非常少,8,派人带着医生分街道治病，救活的人很多,8
SAS-CHN-016,选择B项,mrc,hit_exact,1.0,3.0,1）B,1,选B,1
SAS-CHN-056,断句正确项为B,mrc,hit_exact,1.0,2.0,讨论后予以供养,,,
SAS-CHN-056,概述不正确项为D（叔向“只顾自己安身立命”之说有误）,mrc,hit_exact,1.0,1.0,召见姜太公，问他,,,
SAS-CHN-056,断句正确项为B,mrc,hit_exact,1.0,2.0,该拿那些商朝的士人和百姓怎么办,,,
SAS-CHN-056,翻译整体通顺，句意正确,mrc,hit_exact,1.0,1.0,老弱而没有人养活,,,
SAS-CHN-056,“论而供秩”译为“评定（之后）安置/供给待遇”,mrc,hit_exact,1.0,1.0,丧妻丧夫却没有房屋的人,,,
SAS-CHN-016,表达诗人虽感叹不遇于时，但不甘沉沦的乐观、自勉之情,mrc,hit_exact,1.0,4.0,刺骨寒风终将停歇，和煦春风轻抚枯柳，万千嫩绿枝条如烟似雾,2,寒风终将过去，春风拂绿枯柳，嫩绿柳条如轻烟笼罩,2
SAS-CHN-061,祖先就开始采掘铜矿、铸造铜器,mrc,hit_exact,1.0,2.0,祖先们便开始利用铜资源，制作铜器,1,祖先就开始采掘铜矿、铸造铜器,1
SAS-CHN-061,这却一直没有得到考古发掘的证实,mrc,hit_exact,1.0,2.0,尚未得到考古发掘的证实,2,考古尚未发现夏代之前的铜器,2
SAS-POL-016,在保持原有村落形态的基础上改善居民生活条件,mrc,hit_exact,1.0,3.0,深化传统美德教育，推动其与现代道德观念相融合,,,
SAS-CHN-016,选择B项,mrc,hit_exact,0.9999,3.0,1）B,1,选B,1
SAS-CHN-061,我国最迟在夏晚期就已经开始使用铜器了,mrc,hit_exact,0.9997,2.0,我国最迟在夏晚期就已经开始使用铜器了,3,夏晚期已确有铜器使用,3
SAS-HIST-100,中国与民主德国：50年代友好交往频繁，60年代关系恶化/降至冰点,mrc,hit_exact,0.9996,2.0,特别是在60年代，双方的合作非常密切。然而，随着中苏关系的改善，中国与联邦德国的,,,
SAS-CHN-137,独立思考，学术创新，不蹈袭前人,mrc,hit_exact,0.9996,1.0,A,2,选A得1分,2
SAS-CHN-051,派人带着医生分街道治病，救活的人很多,mrc,hit_exact,0.9996,3.0,自古以来，十分稀有,7,称雄百代，自从有文章以来也少有,7
SAS-CHN-056,概述不正确项为D（叔向“只顾自己安身立命”之说有误）,mrc,hit_exact,0.9988,1.0,无妻无夫的人,,,
SAS-POL-001,实现规模经济,mrc,hit_exact,0.9962,3.0,优化资源配置,,,
SAS-CHN-056,“论而供秩”译为“评定（之后）安置/供给待遇”,mrc,hit_exact,0.9935,3.0,B,,,
SAS-HIST-016,自上而下的改革,mrc,hit_exact,0.9891,2.0,清朝政府为了应对外有压力和内有危机而进行的改革,,,
SAS-CHN-061,我国最迟在夏晚期就已经开始使用铜器了,mrc,hit_exact,0.9867,2.0,我国在夏代之前就已进入青铜器时代,,,
SAS-POL-049,符合我国外交政策的宗旨和目标（维护国家主权、安全和发展利益，促进世界和平与发展）,mrc,hit_exact,0.9827,2.0,维护世界和平、促进共同发展,6,当今时代的主题是和平与发展,6
SAS-CHN-111,使用“你”的同时又使用“我”，蕴含自嘲与反思,mrc,hit_exact,0.9307,2.5,使用“你”增强了与读者的亲近感，鼓励大家去积极接触外部世界；而“我”的使用则表现,,,
SAS-CHN-061,这却一直没有得到考古发掘的证实,mrc,hit_exact,0.8989,2.0,青铜器只出现在商代,,,
SAS-CHN-016,表达诗人虽感叹不遇于时，但不甘沉沦的乐观、自勉之情,mrc,hit_exact,0.8931,4.0,寒风变成春柳,2,寒风终将过去，春风拂绿枯柳，嫩绿柳条如轻烟笼罩,2
SAS-HIST-100,中国与联邦德国：由对立到70年代关系正常化（1972年建交）,mrc,hit_exact,0.8899,2.0,中国与联邦德国的关系则一直很好,,,
SAS-POL-023,坚定文化自信，才能坚定中国特色社会主义道路自信、理论自信、制度自信,mrc,hit_exact,0.8786,2.0,坚持文化自信,9,坚定四个自信需要文化自信,9
SAS-POL-049,只有秉持人类命运共同体理念，加强团结合作，才能打赢全球疫情防控阻击战,similarity,partial,0.6354,0.5,,,,
SAS-POL-049,符合我国外交政策的宗旨和目标（维护国家主权、安全和发展利益，促进世界和平与发展）,similarity,partial,0.6348,0.5,,,,
