question_id,point_text,source,hit_status,conf,weight,span
SAS-CHN-120,两人一再相约，表明他们对将来一起滑雪有强烈的愿望和热切期待,mrc,hit_exact,1.0,2.0,满满的渴望与期待
SAS-CHN-124,恍惚感源于对弟弟参军的担忧与不舍，内心矛盾，既为像弟弟一样的青年感到高兴，又因未见弟弟而牵挂,mrc,hit_exact,1.0,3.0,不正确的一项是（C
SAS-CHN-056,概述不正确项为D（叔向“只顾自己安身立命”之说有误）,mrc,hit_exact,1.0,3.0,D
SAS-CHN-075,不是有了浓厚的兴趣就一定会取得好成绩,mrc,hit_exact,1.0,2.5,有了浓厚的兴趣，必将取得好成绩
SAS-CHN-013,以声衬静，突出考场庄严寂静,mrc,hit_exact,1.0,2.0,对考生才华的期待和赞赏
SAS-POL-049,只有秉持人类命运共同体理念，加强团结合作，才能打赢全球疫情防控阻击战,mrc,hit_exact,1.0,1.0,加强国际联防联控
SAS-CHN-051,派人带着医生分街道治病，救活的人很多,mrc,hit_exact,1.0,3.0,自古以来，十分稀有
SAS-CHN-016,选择B项,mrc,hit_exact,1.0,3.0,B
SAS-CHN-056,断句正确项为B,mrc,hit_exact,1.0,2.0,讨论后予以供养
SAS-CHN-048,第10题选择B项,mrc,hit_exact,1.0,1.5,法律施行一年
SAS-CHN-048,第12题选择C项,mrc,hit_exact,1.0,2.0,说新法不方便的人多达一千人
SAS-POL-042,消除贫困、改善民生、实现共同富裕是社会主义本质要求和党的使命,mrc,hit_exact,1.0,1.0,提高扶贫效率，让贫困人口有更多的获得感
SAS-CHN-017,第一个“酒”出现在作书前，比喻为旗鼓，起酝酿情绪、积蓄气势的作用,mrc,hit_exact,1.0,4.0,达到了内心的满足和豪情
SAS-CHN-083,压力大的人更容易变胖,mrc,hit_exact,1.0,2.0,面临压力者更易发展肥胖症
SAS-CHN-083,压力产生的时间,mrc,hit_exact,1.0,2.0,本应处于低谷时段
SAS-CHN-083,糖皮质激素水平本应是低谷时,mrc,hit_exact,1.0,2.0,压力产生的时间点
SAS-POL-016,在保持原有村落形态的基础上改善居民生活条件,mrc,hit_exact,1.0,3.0,深化传统美德教育，推动其与现代道德观念相融合
SAS-CHN-083,压力大的人更容易变胖,mrc,hit_exact,0.9999,2.0,压力则常与肥胖相联系
SAS-CHN-056,“论而供秩”译为“评定（之后）安置/供给待遇”,mrc,hit_exact,0.9999,2.0,讨论之后就不让他们生活
SAS-CHN-051,他的文章博大深沉光辉灿烂,mrc,hit_exact,0.9999,2.0,派遣人带着医师分开治疗，活着的人非常少
SAS-POL-001,实现规模经济,mrc,hit_exact,0.9999,3.0,优化资源配置
SAS-POL-042,调动贫困群众积极性主动性创造性，增强自我发展能力,mrc,hit_exact,0.9996,1.0,让贫困人口有更多的获得感
SAS-POL-016,在保持原有村落形态的基础上改善居民生活条件,mrc,hit_exact,0.9993,3.0,注重保护传统村落的文化遗产
SAS-CHN-056,概述不正确项为D（叔向“只顾自己安身立命”之说有误）,mrc,hit_exact,0.9985,1.0,无妻无夫的人
SAS-CHN-120,已经隐约感到愿望未必能实现，心情惘然失落,mrc,hit_exact,0.9981,2.0,他其实并没有想滑雪，只是在寻找不去学校的借口。而乔治则认为这只是一种冒险，他并不
SAS-POL-049,符合我国外交政策的宗旨和目标（维护国家主权、安全和发展利益，促进世界和平与发展）,mrc,hit_exact,0.9974,2.0,维护世界和平、促进共同发展
SAS-CHN-016,表达诗人虽感叹不遇于时，但不甘沉沦的乐观、自勉之情,mrc,hit_exact,0.9928,4.0,寒风变成春柳
SAS-POL-049,符合我国外交政策的宗旨和目标（维护国家主权、安全和发展利益，促进世界和平与发展）,mrc,hit_exact,0.9911,1.0,中国政府在疫情防控中表现出了强大的组织能力和对人民生命安全的高度负责
SAS-CHN-056,“论而供秩”译为“评定（之后）安置/供给待遇”,mrc,hit_exact,0.9895,3.0,B
SAS-CHN-083,糖皮质激素水平本应是低谷时,mrc,hit_exact,0.9826,2.0,凌晨3点最低
SAS-CHN-056,翻译整体通顺，句意正确,mrc,hit_exact,0.9699,1.0,要把士兵都杀掉吗
SAS-CHN-051,第11题选B,mrc,hit_exact,0.9677,2.0,他的身体浑身散发着光芒
SAS-CHN-056,翻译整体通顺，句意正确,mrc,hit_exact,0.9481,1.0,现在请求不养活老弱，无妻无夫的人，讨论后予以供养
SAS-CHN-124,恍惚感源于与弟弟相处短暂、弟弟年幼，不相信他已长大，且流浪命运未知,mrc,hit_exact,0.8638,3.0,失落和迷茫
SAS-POL-001,促进产业结构调整和升级,mrc,hit_exact,0.5549,3.0,提高企业的竞争力，减少中小煤矿的安全隐患，优化资源配置，增加政府财政收入
SAS-POL-049,只有秉持人类命运共同体理念，加强团结合作，才能打赢全球疫情防控阻击战,mrc,hit_exact,0.5,1.0,各
